name,lat,lon
Továrny Hostivař,50.05634,14.54283
U Rumpálu,50.133232,14.548558
Ve Žlíbku,50.11065,14.624501
Hybšmanka,50.077934,14.381201
Pod Vinicí,50.055576,14.483793
Na Strži,50.043495,14.438684
Xaverovský háj,50.101166,14.619526
U Ladronky,50.07987,14.362095
Právnická fakulta,50.091476,14.417732
Botanická zahrada Malešice,50.08867,14.513969
Sídliště Uhříněves,50.03115,14.611645
Poliklinika Vysočany,50.108738,14.494236
Šimůnkova,50.132935,14.470473
Na Košíku,50.047108,14.515264
Lohenická,50.149033,14.586884
Pod Lochkovem,50.00283,14.350538
Poliklinika Petrovice,50.03924,14.560976
K Juliáně,50.117786,14.301151
Žabovřesky,49.965126,14.383626
Škola Velká Chuchle,50.012016,14.382333
V Přístavu,50.108486,14.453746
Prašná,50.035,14.520884
Za Pavilonem,50.060936,14.588411
Staré Letňany,50.137894,14.516928
Červeňanského,50.03896,14.33521
Kunratice,50.0132,14.487515
K Žižkovu,50.099495,14.496414
Želivského,50.078533,14.473886
Petýrkova,50.03055,14.487643
Vršovické náměstí,50.069096,14.45455
Talichova,50.08864,14.366358
Petřiny,50.087505,14.344923
Sídliště Zličín,50.06025,14.293251
Khodlova,50.110287,14.604071
Na Palouku,50.08043,14.488593
Za Chalupami,50.005264,14.356125
Lísek,50.04265,14.456718
Kobyliská střelnice,50.130966,14.460742
Kazín,49.951042,14.340826
Praha-Dejvice,50.096977,14.399686
Podbělohorská,50.075226,14.372855
Koleje Větrník,50.088764,14.351196
Nádraží Řeporyje,50.031708,14.309259
Nad Klamovkou,50.07268,14.37727
Šafránkova,50.05861,14.338596
Dobratická,50.13034,14.508517
Náměstí Olgy Scheinpflugové,50.03022,14.361761
U Prdlavky,50.081123,14.445635
Korytná,50.064793,14.493297
Kodaňská,50.07075,14.460817
Pod Hradem,50.03824,14.637688
Rooseveltova,50.10378,14.399746
U Mezníku,50.051106,14.623074
Václavská,50.074524,14.417532
Tálínská,50.100906,14.546066
Rychnovská,50.135124,14.514034
Vojetická,49.976498,14.348144
Zhořelecká,50.130993,14.417467
Horní cesta,50.033268,14.39645
V Podbabě,50.12176,14.394158
Nádraží Dolní Počernice,50.087135,14.57186
Olšanské hřbitovy,50.07795,14.466933
Na Groši,50.052933,14.523912
Schengenská,50.105827,14.272376
Dobeška,50.04183,14.416
Pod Karlovem,50.069168,14.432743
Kapitána Stránského,50.103424,14.575963
Na Formance,50.016663,14.530283
Špejchar,50.097458,14.409987
Nádraží Libeň,50.101708,14.502612
U Dálnice,50.020493,14.507401
Hlubočepy,50.042522,14.40461
Pohořelec,50.0878,14.388197
Jiráskova čtvrť,50.094063,14.546152
Ládví,50.12643,14.469768
Michelská,50.054718,14.453356
U Trezorky,50.055775,14.3761
Sedlec,50.13468,14.391905
Poliklinika Háje,50.03385,14.527475
Obchodní centrum Zličín,50.049988,14.29725
K Říčanům,50.015427,14.632273
Letňany,50.125614,14.51615
Lhotka,50.02092,14.438337
Třebenická,50.129326,14.481306
Hrdlořezská,50.09369,14.509479
Pobřežní cesta,50.033974,14.40784
Motol,50.068302,14.335325
Kotlářka,50.06996,14.362337
Argentinská,50.103046,14.443398
Květnová,50.142708,14.477959
Smaragdová,50.02648,14.36071
Pod Oborou,50.063072,14.636311
Univerzitní,50.085228,14.502483
Sportareál Satalice,50.123398,14.566725
Škola Dubeč,50.06292,14.590977
Sídliště Prosek,50.122498,14.493733
Holyně,50.027084,14.358055
K Drsnici,50.14268,14.384613
Čertousy,50.122543,14.635258
Náměstí Republiky,50.088745,14.43012
Dřevařská,50.126244,14.56468
Vožická,50.00937,14.493198
Kovošrot,50.062084,14.542165
Nové Komořany,49.992447,14.41968
Ryšánka,50.04059,14.438438
Divoká Šárka,50.092545,14.324166
Ke Kaménce,50.07151,14.30245
Praha-Komořany,49.990955,14.404417
Vyšehrad,50.060806,14.431242
Novochuchelská,50.009087,14.384808
Morseova,50.03511,14.558902
Veronské náměstí,50.040188,14.558066
Vajgarská,50.101967,14.55456
U Zvonu,50.071564,14.387082
Kajetánka,50.086704,14.37145
Sídliště Horní Počernice,50.11129,14.614161
Nepasické náměstí,50.103767,14.658772
Vychovatelna,50.1184,14.464318
Hostavice,50.09012,14.56333
Platónova,49.998795,14.41676
Královka,50.084877,14.380366
Praha-Ruzyně,50.084225,14.312161
K Obecním hájovnám,50.043083,14.515776
Netluky,50.041092,14.613134
Průhonský háj,50.109955,14.341291
Malešické náměstí,50.08501,14.511184
Na Hroudě,50.07025,14.488985
Vypich,50.079872,14.34559
Na Štamberku,50.146645,14.480214
Písková,50.003082,14.417576
Nad Závistí,49.98052,14.404201
Poliklinika Malešice,50.080376,14.501652
Chmelnice,50.09252,14.4864
Teplárna Malešice,50.08314,14.525901
Nové Vokovice,50.1006,14.340771
K Cikánce,49.997627,14.341734
Naskové,50.063377,14.360533
Fryčovická,50.13928,14.504915
Přístav Radotín,49.994415,14.39349
Nové Letňany,50.14093,14.520952
Butovická,50.051346,14.362932
U Nemocnice,50.07352,14.420931
Tiskařská,50.08295,14.534092
Práčská,50.053658,14.510127
Špitálská,50.111008,14.505019
Ruzyňský hřbitov,50.076027,14.312147
Mezi Hřbitovy,50.081657,14.471742
Teplárna Michle,50.05282,14.474681
Miškovice,50.155987,14.541626
Jalodvorská,50.013664,14.457426
Kudrnova,50.072285,14.343967
Stodůlky-Bavorská,50.054367,14.310517
Opálová,50.021668,14.363988
Lazarská,50.079422,14.420067
Nádraží Veleslavín,50.09581,14.347233
Mílová,50.010017,14.466774
Krahulčí,50.107426,14.603806
Nádraží Žvahov - V Násypu,50.04467,14.402629
V Mokřinách,50.020184,14.407799
Dostihová,50.01274,14.394119
Malostranské náměstí,50.08799,14.404415
Nádraží Kyje,50.097424,14.542738
Filadelfie,50.04862,14.453198
Pelc Tyrolka,50.115936,14.443846
Praha-Kolovraty,50.013954,14.62579
Italská,50.078163,14.436041
Holečkova,50.074272,14.395394
Vinořský hřbitov,50.14472,14.579728
Křížová,50.063,14.405045
U Libušského potoka,50.005882,14.423851
Volha,50.021496,14.493436
Libeňský most,50.10341,14.464732
Zmrzlík,50.011776,14.312866
Janovská,50.040985,14.566949
Satalice,50.125656,14.571462
Peluněk,49.969,14.375783
Uhříněves,50.030098,14.604857
Libocká,50.08676,14.329247
Mladějovská,50.13263,14.560398
Myšlínská,50.062164,14.534336
Šafránecká,50.075874,14.344734
Letňanská,50.122997,14.507336
Mládí,50.050095,14.322416
Pod Kyjovem,49.965714,14.369059
Plynárna Michle,50.056526,14.464953
U Prioru,50.086937,14.319098
Vrbova,50.03184,14.426926
Macharovo náměstí,50.094177,14.38175
K Austisu,50.02118,14.341137
Krematorium Strašnice,50.07724,14.484958
Zlíchov,50.04604,14.407648
Studentský dům,50.105896,14.390012
Újezd u Průhonic,50.01265,14.546397
Mirovická,50.130882,14.452434
Generála Janouška,50.102634,14.563926
Kbelský lesopark,50.13527,14.535951
U Zvoničky,50.010407,14.46028
Staré náměstí,50.081852,14.310551
Nové Butovice,50.050976,14.352276
Hostýnská,50.081192,14.495524
Bryksova,50.102215,14.578947
Pod Žvahovem,50.043495,14.403092
Praha-Řeporyje,50.032513,14.308306
Masná,50.08923,14.424117
Chodov,50.031216,14.49133
Sportovní centrum Horní Počernice,50.10898,14.610184
Nádraží Velká Chuchle,50.011425,14.389142
Kutvirtova,50.05729,14.392862
Lipovická,49.996735,14.467608
Jirčanská,50.00598,14.45903
V Lískách,50.019783,14.4638
Marjánka,50.084538,14.375696
Kazínská,50.011665,14.386353
Olgy Havlové,50.08744,14.478865
Praha-Vysočany,50.11235,14.497358
Větrov,50.07345,14.424397
Karlovo náměstí,50.07529,14.418516
Do Lipan,50.008015,14.626381
Valdštejnské náměstí,50.090294,14.405113
Na Pastvinách,50.10086,14.344557
Přístaviště,50.039806,14.409684
Chodovská,50.05655,14.470234
Donatellova,50.072525,14.508122
Sídliště Jahodnice,50.088806,14.550612
Bachova,50.031292,14.508966
Na Havránce,50.00626,14.409826
Dreyerova,50.036392,14.383009
Balkán,50.094803,14.496246
Vozovna Kobylisy,50.13286,14.453828
U Kunratického lesa,50.022926,14.488953
Skalka,50.068222,14.507793
K Barrandovu,50.03528,14.383079
Sídliště Spořilov,50.04779,14.490209
Ženské domovy,50.06857,14.400691
Zborov - Strašnické divadlo,50.07728,14.500641
Praha-Vršovice,50.064518,14.44767
Diskařská,50.07919,14.381634
Vinice Dolní Počernice,50.085842,14.601168
Na Petynce,50.08819,14.38135
Násirovo náměstí,50.00138,14.421616
Cholupické náměstí,49.988464,14.448948
Do Čertous,50.12268,14.610378
Druhanická,50.07228,14.652829
Šporkova,50.0874,14.398101
